timestamp,voltage,current,humidity,temperature,CO,NO2,SO2,PM1,PM2.5,PM10,WiFi
2024-09-01 21:59:22,10.85,-0.10,57.76,19.68,1070.21,182.13,411.19,0.00,0.00,0.00,0.00,1
2024-09-01 21:59:27,13.56,-0.08,72.20,24.60,1337.33,225.83,531.93,0.00,0.00,0.00,0.00,1
2024-09-01 21:59:32,13.56,0.00,72.20,24.60,1329.78,227.66,530.47,0.00,0.00,0.00,0.00,1
2024-09-01 21:59:37,13.56,-0.12,72.20,24.60,1322.22,222.78,514.84,0.00,0.00,0.00,0.00,1
2024-09-01 21:59:42,10.85,-0.06,57.76,19.68,1070.21,183.96,411.68,0.00,0.00,0.00,0.00,1
2024-09-01 21:59:47,13.56,0.00,72.20,24.60,1328.61,225.52,520.21,0.00,0.00,0.00,0.00,1
2024-09-01 21:59:52,10.85,-0.06,57.76,19.68,1060.91,179.99,416.56,0.00,0.00,0.00,0.00,1
2024-09-01 21:59:57,13.56,-0.08,72.20,24.60,1329.78,227.05,526.07,0.00,0.00,0.00,0.00,1
2024-09-01 22:00:03,13.56,-0.12,72.20,24.60,1339.66,232.54,508.98,0.00,0.00,0.00,0.00,1
2024-09-01 22:00:08,13.56,-0.04,72.20,24.60,1322.22,223.08,516.31,0.00,0.00,0.00,0.00,1
2024-09-01 22:00:13,10.85,-0.08,57.76,19.68,1054.52,181.21,406.80,0.00,0.00,0.00,0.00,1
2024-09-01 22:00:18,13.56,0.00,72.20,24.60,1323.38,228.58,512.40,0.00,0.00,0.00,0.00,1
2024-09-01 22:00:23,10.85,-0.12,57.76,19.68,1059.75,183.04,416.07,0.00,0.00,0.00,0.00,1
2024-09-01 22:00:28,13.56,-0.04,72.20,24.60,1326.87,226.14,527.05,0.00,0.00,0.00,0.00,1
2024-09-01 22:00:33,10.85,-0.06,57.76,19.68,1059.17,180.30,428.28,0.00,0.00,0.00,0.00,1
2024-09-01 22:00:38,13.56,-0.06,72.20,24.60,1305.94,228.58,519.24,0.00,0.00,0.00,0.00,1
2024-09-01 22:00:43,10.85,-0.06,57.76,19.68,1055.68,175.11,417.54,0.00,0.00,0.00,0.00,1
